"","x"
"1","TACSTD2"
"2","GNG5"
"3","MPC2"
"4","ELF3"
"5","EPCAM"
"6","C2orf88"
"7","DNPH1"
"8","RPS12"
"9","AKAP12"
"10","CLDN4"
"11","TFPI2"
"12","RPS4X"
"13","TCEAL9"
"14","MATN2"
"15","RPL12"
"16","RPL7A"
"17","MDK"
"18","CRYAB"
"19","APOA1"
"20","BCAT1"
"21","KRT7"
"22","PCBP2"
"23","TSC22D1"
"24","ACSM3"
"25","CCL5"
"26","RPL23"
"27","KRT19"
"28","JPT1"
"29","SLPI"
"30","TSHZ2"
"31","EEF2"
"32","ANGPTL4"
"33","LDLR"
"34","RPL3"
"35","TRABD"
"36","CD2"
"37","IRF3"
"38","DGKZ"
"39","TAP1"
"40","STAT1"
"41","MLLT6"
"42","CD3G"
"43","LNPEP"
"44","DPP7"
"45","GZMB"
"46","PRMT9"
"47","IFI6"
"48","CTSD"
"49","IFNG"
"50","TIGIT"
"51","SLAMF7"
"52","ALOX5AP"
"53","SPOCK2"
"54","ZBP1"
"55","SLC11A1"
"56","NLRC5"
"57","IGLC3"
"58","LIMD2"
"59","STK10"
"60","RHOH"
"61","IL32"
"62","MATK"
"63","RSAD2"
"64","ISG20"
"65","CD38"
"66","FXYD5"
"67","AAK1"
"68","MBP"
